country,policy_description,Summary
Argentina,"Intregated national sectoral plan for transport aiming to guide the development of the sector to satisfy present and future mobility needs of citizens in a sustainable way. It includes an investment plan aiming to prioritize railway transport, low-emissions mobility, alternative transport such as cycling, public transport, as well as modernization of air transport and freight transport systems. These measures aim to reduce GHG emissions from the transport sector by 5.91 MtCO2e by 2030 against a BAU scenario, or accumulated savings of 46.95 MtCO2e for the period 2011-2030. Total emissions from transport by 2030 are estimated to be 82.5 MtCO2e under the BAU scenario, and 76.6 MtCO2e (7.2% lower than BAU) on the additional measures scenario.","The integrated national sectoral plan for transport aims to sustainably develop the transport sector to meet current and future mobility needs. It includes an investment strategy that prioritizes railway transport, low-emissions mobility, cycling, public transport, and the modernization of air and freight transport systems. The goal is to reduce greenhouse gas (GHG) emissions from the transport sector by 5.91 MtCO2e by 2030 compared to a business-as-usual (BAU) scenario, resulting in total savings"
Argentina,"""El objetivo del plan es contribuir al uso sustentable de los bosques nativos como una alternativa frente al cambio de uso del suelo. Esta iniciativa interinstitucional (MAGyP y la SAyDS) apunta a que las actividades ganaderas en zonas de bosques nativos sean incorporadas a la matriz productiva cumpliendo criterios sustentabilidad ecológica, económica y ocial, a fin de establecer un marco general que esté en concordancia con la Ley N° 26.331."" TRANSLATION: The plan's objective is to contribute to the sustainable use of native forests as an alternative to land-use change. This inter-agency initiative (MAGyP and SAyDS) suggests that livestock activities in areas of native forests to be incorporated into the productive matrix fulfilling criteria ecological, economic and ocial sustainability, to establish a general framework that is in accordance with Law No. ° 26,331.","The plan aims to promote the sustainable use of native forests as an alternative to land-use change. It is a collaborative initiative between MAGyP and SAyDS, focusing on integrating livestock activities in native forest areas into the productive framework while meeting ecological, economic, and social sustainability criteria. The initiative seeks to establish a general framework that aligns with Law No. 26,331."
Italy,"The Climate Adaptation Strategy lays forth specific goals that must be accomplished by the end of December 2016 and is to be revised every five years.
 The National Adaptation Strategy offers in-depth information on past, present, and future climate change as well as impacts and vulnerabilities of various sectors, such as water resources, desertification, soil degradation, and drought; hydrogeological risks; biodiversity and ecosystems; health; forestry; agriculture, aquaculture, and marine fishery; energy; coastal zones; tourism; urban settlements; and critical infrastructures.
 The Strategy offers a national perspective on how to manage the effects of climate change on various socioeconomic sectors and ecological systems, with a focus on:
improve current knowledge on climate change and its impacts;
identify vulnerabilities and adaptation options for relevant natural and socio-economic systems, and describe opportunities that may be associated to climate change;
promote participation of stakeholders in defining strategies and sectoral adaptation plans to make later implementation more effective;
increase awareness about climate change risks and adaptation through a range of communication activities;
specify methods to be used to identify the best options for adaptation actions, also highlighting the co-benefits.
The Strategy establishes the overarching framework for adaptation, but the Action Plan and sectoral plans, which must be implemented by December 2016, will include the timescale, quantifiable goals, and implementation specifics.
 The National Adaptation Strategy also includes areas like as energy and green buildings, food production and consumption, forestry and land-use, and water resources where synergies between climate mitigation and adaptation efforts could be utilized.","The Climate Adaptation Strategy outlines specific goals to be achieved by December 2016 and mandates revisions every five years. It provides comprehensive insights into climate change impacts and vulnerabilities across various sectors, including water resources, biodiversity, health, and critical infrastructure. The Strategy aims to enhance understanding of climate change, identify vulnerabilities and adaptation options, engage stakeholders in developing strategies, raise awareness of climate risks, and establish methods for selecting effective adaptation actions. It serves as a foundational framework for adaptation, with an accompanying Action Plan"
Spain,"Royal Decree 1565/2010 seeks to modify the support framework provided for renewable energy projects by cutting financial support, especially to photovoltaic electricity production, improving the technical integration of renewable energy installations and easing administrative procedures. Government support for electricity produced from photovoltaic plants will be limited to 25 years and existing feed-in-tariffs for the installations under the framework of Royal Decree 1578/2008 (not for those under Royal Decree 661/2007) will be cut down by: - 5% for small-size roof installations. - 25% for medium-size (21 to 100 kW) roof installation. - 45% for ground installations. The Royal Decree further intends to support the technical integration of renewable energy and CHP (Combined Heat and Power) facilities with the implementation of a specific regulatory framework for R&D in the renewable energy sector, especially for innovative onshore wind installations. (For details, see reference below.) IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","Royal Decree 1565/2010 aims to revise the support framework for renewable energy projects by reducing financial assistance, particularly for photovoltaic electricity production. Key changes include limiting government support for electricity from photovoltaic plants to 25 years and implementing significant cuts to existing feed-in tariffs: 5% for small rooftop installations, 25% for medium-sized rooftop installations (21 to 100 kW), and 45% for ground installations. Additionally, the decree seeks to enhance the technical integration of renewable energy"
United States of America,reduce the greenhouse gas intensity of the American economy by 18% from 2002 to 2012,"The policy aims to decrease the greenhouse gas intensity of the U.S. economy by 18% over a ten-year period, specifically from 2002 to 2012."
India,"According to the policy: ""The State will promote setting up of wind power plants for direct sale to Discoms of Rajasthan on the tariff determined through competitive bidding process for the years 2013-14 onwards."" The targets are as follows: - 2013-14: 300 MW; 2014-15: 400 MW; 2015-16: 500 MW.","The policy encourages the establishment of wind power plants in Rajasthan to sell electricity directly to distribution companies (Discoms) at tariffs set through competitive bidding. The targeted capacities are 300 MW for 2013-14, 400 MW for 2014-15, and 500 MW for 2015-16."
Chile,"Executive
The National Energy Strategy 2012-2020 sets the target for reducing projected energy consumption by 12% by 2020. This target was later updated and changed to 20% by 2025 by the Chilean Energy Agenda. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",The National Energy Strategy 2012-2020 aimed to reduce projected energy consumption by 12% by 2020. This goal was subsequently revised to a 20% reduction target by 2025 under the Chilean Energy Agenda.
Australia,"With the ratification of the Kigali Amendment, group II parties commit to peak HFCs consumption by 2024 and to gradually phase down in line with the following schedule:
(i) 2024 to 2028: 100 per cent
(ii) 2029 to 2034: 90 per cent
(iii) 2035 to 2039: 70 per cent
(iv) 2040 to 2044: 50 per cent
(v) 2045 and thereafter: 20 per cent","The Kigali Amendment requires group II parties to peak their consumption of hydrofluorocarbons (HFCs) by 2024 and implement a gradual phase-down according to the following timeline: 

- 2024 to 2028: 100% of baseline consumption
- 2029 to 2034: 90% of baseline consumption
- 2035 to 2039: 70% of baseline consumption
- 2040 to 2044: 50%"
European Union,"Directive 2010/75/EU
""This Directive lays down rules on integrated prevention and control of pollution arising from industrial activities. It also lays down rules designed to prevent or, where that is not practicable, to reduce emissions into air, water and land and to prevent the generation of waste, in order to achieve a high level of protection of the environment taken as a whole.""
""Member States shall take the necessary measures to ensure that no installation or combustion plant, waste incineration plant or waste co-incineration plant is operated without a permit.""
""Member States shall take the necessary measures to ensure that the permit conditions are complied with."" (http://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex:32010L0075)","Directive 2010/75/EU establishes regulations for the integrated prevention and control of pollution from industrial activities. Its main objectives are to prevent or reduce emissions into air, water, and land, as well as to minimize waste generation, ensuring a high level of environmental protection. Member States are required to ensure that no industrial installations or combustion, waste incineration, or co-incineration plants operate without a permit, and they must enforce compliance with the conditions set in these permits."
European Union,"The following coal phase-out plans were announced in past year: Germany confirmed its coal phase-out by 2038 in January 2020; Greece and Hungary announced phase-out plans for 2028 and 2030 respectively in September 2019; Portugal announced an accelerated phase-out from 2030 to 2023 in October 2019; Slovakia declared in June 2019 it would stop using coal for electricity production by 2023.
Other previously announced plans include Denmark (2030), Finland (2029), France (2021), Ireland (2025), Italy (2025), and the Netherlands (2029).
Belgium (2016), Austria (2020), and Sweden (2020) are the only member states to have achieved a coal phase-out. The following six member states have no coal in their electricity mix: Cyprus, Estonia, Latvia, Lithuania, Luxembourg, and Malta.
On the other hand, Bulgaria, Croatia, Czechia, Poland, Romania, Slovenia, and Spain have presented no phase-out plans until this moment, which jeopardise the green transition in these countries.","Various European countries have announced coal phase-out plans, with Germany aiming for 2038, Greece for 2028, and Hungary for 2030. Portugal has accelerated its phase-out from 2030 to 2023, and Slovakia plans to cease coal use for electricity by 2023. Other countries with phase-out timelines include Denmark (2030), Finland (2029), France (2021), Ireland (2025), Italy (2025), and the Netherlands (2029). Belgium"
Togo,"This Action Plan aims at improving the national capacity of environmental management and natural resources for the promotion of a sustainable development of the country through four specific objectives: 1) develop, adopt, implement and promote a national environmental policy, 2) develop relevant tools, projects and programs for the strategic management of the environment and natural resources, aimed at improving the quality and living environment of the population, 3) promote an environmental ethic by raising people's awareness, especially grassroots communities, about environmental problems, and 4) master the mechanisms for mobilising national and international resources for the financing of investment projects and programs. The Plan stipulates that Togo will encourage the development of actions and behaviors that promote the improvement of the national and global climate, the reduction of greenhouse gases and the protection of the ozone layer.","The Action Plan focuses on enhancing Togo's capacity for environmental management and sustainable development through four main objectives: 1) establishing and promoting a national environmental policy, 2) creating tools and projects for effective management of environmental and natural resources to improve living conditions, 3) fostering environmental awareness, particularly in local communities, and 4) developing strategies to secure national and international funding for environmental initiatives. Additionally, the Plan includes commitments to support actions that improve climate conditions, reduce greenhouse gas emissions, and"
Australia,"""E85 is a fuel blend of 7085 per cent ethanol with the remainder petrol. It may only be used in cars that have been specifically built or modified to use E85.""
""Following extensive consultation, the Australian Government has now made a fuel quality standard and fuel quality information (labelling) standard for E85 under the Fuel Quality Standards Act 2000 (the Act) to allow for optimum vehicle and environmental performance of the fuel and labelling at the point of sale.""
""The new E85 standards are:
- Fuel Standard (Ethanol E85) Determination 2012  this standard specifies the physical and chemical parameters for E85, and testing methods to determine compliance with the standard.
- Fuel Quality Information Standard (Ethanol E85) Determination 2012  this standard sets out the labelling requirements for the sale of E85 fuel sold in Australia."" (http://www.environment.gov.au/topics/environment-protection/fuel-quality/standards/ethanol-e85)","E85 is a fuel consisting of 70-85% ethanol and 15-30% petrol, intended for use only in vehicles designed or modified for this fuel type. The Australian Government has established standards for E85 under the Fuel Quality Standards Act 2000 to enhance vehicle performance and environmental safety. These standards include the Fuel Standard (Ethanol E85) Determination 2012, which outlines the physical and chemical parameters and testing methods for E85 compliance, and the Fuel Quality Information"
Australia,"NCC 2016 Complete Series contains NCC 2016 Volumes One, Two, Three and The Guide. The series is a uniform set of technical provisions for the design and construction of buildings and other structures throughout Australia, which allows for variations in climate and geological or geographic conditions. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","The NCC 2016 Complete Series includes Volumes One, Two, Three, and The Guide, providing a standardized set of technical guidelines for the design and construction of buildings and structures across Australia. It accommodates variations in climate, geology, and geography."
Netherlands,The national emission target for Netherlands under the EU Effort Sharing Decision is 16% reduction of greenhouse gas emissions in 2020 compared to 2005 level.,"The Netherlands aims to achieve a 16% reduction in greenhouse gas emissions by 2020, compared to 2005 levels, in accordance with the EU Effort Sharing Decision."
Japan,"The maximum allowable energy consumption for homes, dependent on the climate areas, are between 290 MJ/m3/a and 460 MJ/m3/a.","The policy sets maximum energy consumption limits for homes based on climate zones, ranging from 290 to 460 MJ/m3/a."
Canada,Target: zero incandescent light bulbs (sold) after 2013,"The policy aims to eliminate the sale of incandescent light bulbs starting in 2013, targeting a complete phase-out of these products."
China,"Diesel, gasoline and fuel oil are taxed under this taxation scheme. This translates into taxation of about 7% of energy consumed in the heating and process category. Other fuels such as other oil products, natural gas and coal are untaxed. The tax also applies to diesel and fuel oil consumed for electricity generation, but their share in total generation is limited.","The policy imposes a tax of approximately 7% on diesel, gasoline, and fuel oil used for heating and processes. Other fuels, including oil products, natural gas, and coal, are exempt from this tax. Additionally, the tax applies to diesel and fuel oil used for electricity generation, although their contribution to total generation is minimal."
Kenya,"The overall objective of this Energy Policy is to ensure affordable, competitive, sustainable and reliable supply of energy at the least cost in order to achieve the national and county development needs, while protecting and conserving the environment for inter-generational benefits.","The Energy Policy aims to provide an affordable, competitive, sustainable, and reliable energy supply at the lowest possible cost, supporting national and county development goals while ensuring environmental protection for future generations."
Germany,"This strategy sets out to improve peatland conservation and restauration, and to support affected areas financially.",This strategy aims to enhance the conservation and restoration of peatlands while providing financial support to impacted regions.
France,"The National Low-Carbon Strategy (SNBC) is France's roadmap for reducing GHG emissions by 2050. It provides guidelines for implementing, in all sectors of activity, the transition to a low-carbon, establishing as main tool the carbon budget. It has two main goals: to achieve carbon neutrality by 2050 and to reduce the carbon footprint of French consumption.
The first version of the strategy was issued in 2015 but was revised with the main goal of achieving net-zero by 2050 and the new version was adopted by decree in 2020.","The National Low-Carbon Strategy (SNBC) is France's plan aimed at reducing greenhouse gas emissions by 2050, focusing on transitioning to a low-carbon economy across all sectors. The strategy's primary objectives are to achieve carbon neutrality by 2050 and to lower the carbon footprint of French consumption. Initially introduced in 2015, the strategy was revised and updated in 2020 to emphasize the goal of net-zero emissions by 2050, utilizing a carbon budget as a key tool for"
Brazil,"Direct support through loans of BRL 20-100 million for the biofuel sector, under the RenovaBio Policy, with incentives to improve energy-environmental efficiency and production certification.",The policy provides direct loans ranging from BRL 20 million to 100 million for the biofuel sector as part of the RenovaBio Policy. It aims to enhance energy-environmental efficiency and promote production certification through financial incentives.
Japan,"Japan's Ministry of the Environment announced April 17, 2018, that the Fifth Basic Environment Plan has been approved by the Cabinet (to be reviewed every 6 years).
It lists six priority strategies, and the first one is the ""establishment of a clean economic system."" It sets a goal of the ""maximum introduction of renewable energy."" As specific measures, it mentions the use of hydrogen and locally-produced biomass and the promotion of agricultural solar power plants (solar sharing). (http://tech.nikkeibp.co.jp/dm/atclen/news_en/15mk/042802072/?ST=msbe;%20https://www.env.go.jp/en/policy/plan/basic/pt2.html)","On April 17, 2018, Japan's Ministry of the Environment announced the approval of the Fifth Basic Environment Plan by the Cabinet, which will be reviewed every six years. The plan outlines six priority strategies, with the foremost being the ""establishment of a clean economic system."" A key goal is to maximize the use of renewable energy, incorporating specific measures such as promoting hydrogen use, utilizing locally-produced biomass, and encouraging agricultural solar power plants (solar sharing)."
Sudan,"ony sectoral targets , no general target.",The policy focuses on setting specific targets for individual sectors rather than establishing an overarching general target.
Argentina,"To sustainably manage Argentina's native forests. To become a source of development for the communities associated with them, inserting them into the productive value chains in a competitive manner.",The policy aims to sustainably manage Argentina's native forests while promoting community development by integrating these communities into competitive productive value chains.
Colombia,"The Decree of the National Climate Change (SISCLIMA), aims to 'coordinate, articulate, formulate, monitor and evaluate policies, rules, strategies, plans, programs, projects, actions and measures related to the adaptation to climate change and mitigation of greenhouse gases' through collaboration between public, private and nonprofit entities (Art 1). The Decree creates the Intersectional Commission on Climate Change, to implement and coordinate climate efforts on the national level, and Regional Nodes for Climate Change, responsible for ""promoting and supporting implementation of climate change policies, strategies, plans, programs, projects and actions in regions"". (For more details on the Commission's aims, see reference below.)","The Decree of the National Climate Change (SISCLIMA) focuses on coordinating and implementing policies related to climate change adaptation and greenhouse gas mitigation through collaboration among public, private, and nonprofit sectors. It establishes the Intersectional Commission on Climate Change to oversee national climate initiatives and creates Regional Nodes for Climate Change to support local implementation of related policies and actions."
Bulgaria,"The ordinance regulates the vocational education for technicians in the energy sector, including those in renewable energy. The certification/training programme for installers is based on articles 20a  20e of the Energy from Renewable Sources Act, which state that the installation, maintenance, repair and reconstruction of renewable energy facilities with a capacity up to 30 kW for buildings in urban areas and up to 200 kW for buildings in industrial areas shall be performed by people registered by the State Agency for Metrological and Technical Surveillance (SAMTS) and having received a certificate issued by the SAMTS. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","The ordinance regulates vocational education for technicians in the energy sector, focusing on renewable energy. It establishes a certification and training program for installers based on the Energy from Renewable Sources Act. According to the act, installations, maintenance, repair, and reconstruction of renewable energy facilities must be conducted by individuals registered with the State Agency for Metrological and Technical Surveillance (SAMTS) and holding a SAMTS-issued certificate. The capacity limits for these facilities are set at 30 kW for urban buildings and 200 k"
India,"Following the Energy Conservation Act, the government of Himachal Pradesh issued an order to foster the implementation of energy efficiency measures across high energy consuming entities, including industrial facilities, commercial establishments and government organisations. It relies on the following six measures: 1) Mandatory use of CFLs and/or T-5(28 watt) tube lights; 2) Mandatory Use of Energy Efficient Street Lights
Mandatory Use of Solar Water Heating System; 3) Optional Use of Solar Water Heating Systems; 4) Mandatory Use of ISI/BIS merked Motor pumps sets, Power Capacitors; 5) Foot/Reflex valves in agriculture Sectors; 6) Promotion of Energy Efficient Building Design. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","The Himachal Pradesh government has implemented an order under the Energy Conservation Act to enhance energy efficiency in high energy-consuming sectors, such as industries, commercial entities, and government organizations. The policy includes six key measures: 

1. Mandatory use of CFLs and/or T-5 (28 watt) tube lights.
2. Mandatory installation of energy-efficient street lights.
3. Compulsory use of solar water heating systems.
4. Optional adoption of solar water heating systems.
5. Requirement for ISI"
Namibia,Namibia targets a reduction of its projected national emissions by 7.669 Mt CO2 e while concurrently increasing its removals by 4.213 Mt CO2 e for a total mitigation potential of 11.902 Mt CO2 e.,"Namibia aims to reduce its projected national emissions by 7.669 million tonnes of CO2 equivalent (Mt CO2 e) and increase its carbon removals by 4.213 Mt CO2 e, resulting in a total mitigation potential of 11.902 Mt CO2 e."
Denmark,"The purpose of the Energy Saving Trust is to promote energy savings through campaigns, market introductions, dissemination of knowledge and other market influencing initiatives. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","The Energy Saving Trust aims to encourage energy savings by implementing campaigns, introducing market initiatives, sharing knowledge, and influencing market behaviors."
United Kingdom,"The Northern Powerhouse Investment Fund (NPIF) will invest a further £390 million by 2020-21 to support ultra-low emission vehicles (ULEVs), renewable fuels, and connected and autonomous vehicles (CAVs). This includes £80 million for ULEV charging infrastructure, £150 million in support for low emission buses and taxis, £20 million for the development of alternative aviation and heavy goods vehicle fuels, and £100 million for new UK CAV testing infrastructure. In addition to the tax incentives for ULEVs in company tax and salary schemes set out in the tax chapter, from today to the end of March 2019 the government will also offer 100% first-year allowances to companies investing in charge-points for electric vehicles. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","The Northern Powerhouse Investment Fund (NPIF) plans to invest £390 million by 2020-21 to enhance ultra-low emission vehicles (ULEVs), renewable fuels, and connected and autonomous vehicles (CAVs). This investment includes £80 million for ULEV charging infrastructure, £150 million for low emission buses and taxis, £20 million for alternative fuels in aviation and heavy goods vehicles, and £100 million for CAV testing infrastructure. Additionally, from now until the end of March"
Israel,"This policy was developed to foster the development of small-scale renewable energy production. The tariff applied to wind power generation up to 50 KW, and for solar PV generation up to 60 MW, with decreasing rates.","This policy aims to promote small-scale renewable energy production by implementing a tariff system for wind power generation (up to 50 KW) and solar PV generation (up to 60 MW), featuring decreasing rates."
Russian Federation,"Russia established 1990 as a reference year and set the target to reduce GHG emissions by 30% relative to 1990 (3.1 GtCO2e) by 2030, taking into account the maximum possible absorptive capacity of forests and other ecosystems. Climate policies implemented focus on increasing energy efficiency in all sectors of the economy, developing the use of non-fuel and renewable energy sources, protecting and improving the quality of natural sinks and storage of greenhouse gases, financial and tax stimulating the reduction of anthropogenic greenhouse gas emissions (Russia NDC, 2020).
CAT rates Russia's new NDC as 'Highly insufficient', without improvements compared with the previous one. Russias absolute target is 30% below 1990 by 2030 including LULUCF. CAT calculates that excluding LULUCF the limit of emissions is set to 2,423 MtCO2e in 2030, 24% below 1990 (Climate Action Tracker, 2021).
 ","Russia has set a target to reduce greenhouse gas (GHG) emissions by 30% from 1990 levels (3.1 GtCO2e) by 2030, considering the absorptive capacity of forests and ecosystems. The country’s climate policies focus on enhancing energy efficiency, promoting renewable energy, and improving the quality of natural carbon sinks. However, the Climate Action Tracker (CAT) rates Russia's new Nationally Determined Contribution (NDC) as 'Highly insufficient' compared"
Canada,"In 2008, the province implemented North Americas first broad-based carbon tax","In 2008, the province introduced North America's first comprehensive carbon tax, aimed at reducing carbon emissions and addressing climate change."
Japan,"In April 2014, the Government of Japan formulated the Strategic Energy Plan in order to show to the public the basic direction of Japans energy policy under the Basic Act on Energy Policy. The policy is centered on themes such as stable energy supply, economic efficiency, environment, and safety taking into account global viewpoint and economic growth to build multilayered and diversified flexible energy demand-supply structure. (For details, see reference below.) IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","In April 2014, Japan's Government established the Strategic Energy Plan to outline the nation's energy policy as mandated by the Basic Act on Energy Policy. The plan focuses on ensuring a stable energy supply, promoting economic efficiency, protecting the environment, and ensuring safety. It aims to create a flexible and diversified energy demand-supply structure while considering global perspectives and economic growth."
