country,policy_description
Norway,Legislative
Norway,"With the ratification of the Kigali Amendment, group I parties commit to peak HFCs consumption by 2019 and reduce it to 15% of 2012 levels by 2036"
Norway,"This strategy focuses particularly on certain priorities for promoting green competitiveness:
• markets for green solutions;
• green and innovative public procurement;
• research, innovation and technology development;
• infrastructure for green solutions;
• managing climate-related risks and financing:
• a circular economy;
• increasing exports of green solutions;
• continued dialogue and cooperation with the business sector"
United Kingdom,"The Budget (2021) brings a policy framework outlining carbon pricing, energy taxes and transport taxes as a way forward towards achievement of net zero targets."
United Kingdom,"A sum of money is collected from all electricity customers through a Public Service Obligation (PSO) which is used to provide funding for energy efficiency and renewable energy schemes. Previously known as the Energy Efficiency Levy (EEL), it is now known as the Northern Ireland Sustainable Energy Programme (NISEP). The strategic objectives of the NISEP are to contribute to the achievement of: Efficiency in the use of energy; Socially and environmentally sustainable long-term energy supplies at best value to customers whilst also having due regard to vulnerable customers. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
Norway,"From 1999 to 2017, municipal parkings were free for EV owners. Since 2017, municipal authorities can decide if they continue offering free parking for such vehicles."
Norway,"This strategy seeks to prioritise efforts in the areas in which Norway has a particular advantage, where Norway and Norwegian companies and technology communities can influence development, and where there are opportunities for increased value creation and green growth. Its main objectives are:
- continue to support the necessary technological developments. The authorities will monitor developments and adjust the policy instruments if needed.
- evaluate policy instruments to promote the development and use of hydrogen in Norway.
- support research into, and the development and demonstration of hydrogen technologies through relevant schemes, with a focus on projects of a high scientific quality and potential for commercial development.
- contribute to developing technology for the capture, transport and storage of CO2, and has ambitions to build cost-effective solutions for full-scale CCS plants in Norway, given that this will generate technology development in an international perspective"
United Kingdom,"This policy seeks to align vehicle emissions standards from the UK with those of the EU. It stipulates a limit of 95g CO2/km for new passenger vehicles and 147g CO2/km for vans from 2020, as well as a 15% emissions reduction below a 2021 baseline for both cars and vans, and from 2030, this will increase to a 37.5% reduction below the 2021 baseline."
United Kingdom,"The UK's Market Transformation Programme (MTP) effective since 1997 undertakes policy research, development and support projects that aim to bring forward products, systems and services that do less harm to the environment, using less energy, water and other resources over their lifetime. The MTP provides strategic support to a growing set of product policies. These aim to encourage resource efficiency through the development of supply-chain measures such as reliable product information, raising minimum standards and encouraging best practice and where consensus and joined-up thinking is essential to establish priorities and to deliver practical policies. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,The UK Net Zero Research and Innovation Framework entails a government investment exceeding £4 billion from 2022 to 2025. This funding is dedicated to the development of technologies crucial for achieving the nation's net zero goals. It emphasizes supporting businesses within the green economy and addressing urgent challenges that the market may struggle to tackle independently.
Norway,"Enova offers investment aid to energy measures in buildings. The aid is given to measures that reduce energy use and converts energy sources to renewable ones. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,ESOS is a mandatory energy assessment scheme for organisations in the UK that meet the qualification criteria. The Environment Agency is the UK scheme administrator.
United Kingdom,"Municipal application of the Go Ultra Low City Scheme (GULCS). London’s bid was awarded £13m in capital funding to drive the uptake of ultra-low emission vehicles in the period 2015/16 - 2019/20. The bid was ambitious, wanting London to become the “Go Ultra-Low emission vehicle Capital”."
Norway,Legislative
Norway,"A system of informative electricity bills was introduced in Norway in 2002. All customers expected to consume more than 8,000 kWh per year receive bills from the grid company for actual consumption. Customers previously paid on the basis of estimated consumption. In addition, the bill must show how the customers electricity consumption compares with the year before and specifies where advice on energy saving can be obtained. The aim is to make customers more aware of their electricity consumption. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,"New Minimum Energy Efficiency Standards in England and Wales came into force on 1st April 2018, requiring all rental properties to have a minimum Energy Performance Certificate rating of E. The regulations came into force for new lets and renewals of tenancies in April 2018 and will apply to all existing tenancies from April 2020. It will be unlawful to rent a property below the minimum E rating, unless there is an applicable exemption. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
Norway,"Enova offers investment aid to energy efficiency measures, conversion to the use of renewable energy sources and energy recovery in the industry. Capital totalling about NOK 2.6 billion is transferred to the fund each year, including about NOK 630 million per year from an earmarked levy on the grid tariff. These financial arrangements make it possible for Enova to be a predictable and flexible source of funding for projects. From 2017, Enova’s focus has been shifted more towards climate-related activities and innovation, in line with the new agreement for the period 2017–2020. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,"The UK's NDC covers all sectors and gases. For CO2, CH4 and N2O the reference year is 1990 and for F-gases the reference year is 1995. The UK’s overall absolute target is to reduce GHG emissions at least by 68% (including LULUCF) by 2030 compared with reference levels. Emissions from International Aviation and Shipping are not included.
The UK has a policy framework in force establishing the binding commitment of net zero emissions by 2050, and Scotland sets bolder goals to reach net-zero in 2045 and 75% below 1990 by 2030. Wales pledges at least 80% reduction by 2050. 
The Climate Change Act introduced carbon budgets for the UK Government, which cap emissions over successive five-year periods and must be set 12 years in advance.
The UK government is putting into force the Clean Growth Strategy, which is a Ten Point Plan for a green industrial revolution, encompassing clean energy, buildings, transport and technologies. Moreover, the government pushes for individual plans across key sectors such as Energy White Paper, Transport Decarbonisation Plan and Heat and Buildings Strategy (UK NDC, 2020).
UK’s NDC establishes a reduction of 68% of 1990 levels including LULUCF emissions. If LULUCF is excluded, this is equivalent to 69% or 251 MtCO2e. CAT classifies this as strong target and once the UK adopts national policies (2030 ban on the sale of fossil fuel cars and a ramping up of renewable energy investment, particularly into offshore wind) it will bring their emissions in line with the 1.5°C goal. Also, the UK has a net-zero goal by 2050. CAT cannot rate, at this moment, the UK target due to complexities derived from Brexit (Climate Action Tracker, 2021).
 "
United Kingdom,"With the ratification of the Kigali Amendment, group I parties commit to peak HFCs consumption by 2019 and reduce it to 15% of 2012 levels by 2036"
Norway,"Enova offers investment aid to full-scale demonstration projects involving new energy and climate technology under real-life operating conditions. Enova has a distinct responsibility for an initiative directed towards new energy and climate technologies in industry. The efforts shall contribute to a reduction in greenhouse gas emissions and support the development of energy diversification in the long run, through the development and market introduction of new technologies and new solutions that can contribute to this. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
Norway,"In November 2002, the Government issued a White Paper on the domestic use of natural gas. The White Paper puts forward a strategy in order to increase the use of natural gas in Norway. The policy is focused on direct use of natural gas and power plants with carbon dioxide capture and storage. In addition, the report evaluates measures to boost transmission of land-generated electricity to offshore installation, hydrogen and a system of green certificates. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,"The Offshore Wind Net Zero Investment Roadmap sets targets aiming to deploy up to 50GW of offshore wind energy by 2030, with an additional capacity of up to 5GW in floating offshore wind. This initiative is integral to the UK's energy security enhancement, facilitating the decarbonization of its power system by 2035, and ultimately achieving its net zero emissions target by 2050."
United Kingdom,"The UK government has announced a plan to achieve its net zero targets, including a Carbon Budget Delivery Update with proposals and policies to meet carbon budgets. Additionally, there's a focus on advancing the new nuclear programme, establishing a taskforce for solar power ambitions, and making long-term commitments to Carbon Capture, Utilization, and Storage (CCUS)."
United Kingdom,"Transport for London’s July 2015 ULEV Delivery Plan committed to deliver 300 rapid charge points by 2020, with 150 by 2018, to meet the expected demand from taxis and commercial fleets. The government is supporting this ambition with a total of £12.6m of funding. Many chargepoints will be introduced by Local Authorities and the private market in England or London in the coming years. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,Legislative
United Kingdom,"Vans were to go electric and lorries to run on hydrogen dual-fuel under a £20 million government programme to cut emissions and improve air quality. The funding, announced at the Sustainable Road Transport Conference, in central London, was being given to 20 firms who set out plans for innovative ways to deploy low and zero emission vehicles. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,"The government will make available a budget of two billion pounds to build protected cycle lanes, provide cycle training for everyone and and increase access to e-bikes. The plan encompasses also a consult to strengthen the Highway Code for safety purposes and create low traffic neighbourhoods to improve air quality. 
In sum, the strategy's target is to foster walking and cycling by improve street conditions, increase security of people while cycling and through informational programmes to the decision of cycling/walking be firstly considered by citizens."
United Kingdom,"The government will spend more than £600 million between 2015-16 and 2020-21 to support uptake and manufacturing of ultra-low emission vehicles (ULEVs) in the UK, maintaining the global leadership that has seen 1 in 4 of all European electric vehicles built here and keep the UK on track for all new cars to be effectively zero emission by 2040. This investment will save 65 million tonnes of carbon and help deliver the Long-Term answer on urban air quality. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,The Go Ultra Low City Scheme is a programme by the Office for Low Emission Vehicles within the Department for Transport. It aims to provide funding to local authorities in the UK that encourages thousands of people to consider switching to an electric car.
Norway,The EFTA Surveillance Authority (ESA) has today approved an extension of the VAT exemption for electric cars until the end of 2022.
United Kingdom,"Incentives for EVs such as free parking are decided at local level. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
Norway,"""In January 2008, the Norwegian government revised its previous target, announced in 2007, of becoming carbon netural by 2050 to 2030. This earlier target was reached through agreement between the Norwegian government and the opposition parties. The idea of the target is to reduce net emissions of carbon dioxide to zero by 2030 through both emissions reducing projects in Norway and elsewhere. Activities will include investing in projects to slow deforestation in developing countries, investing in renewable energy and carbon capture and storage research, raising a tax on diesel fuel, investing in mass transport and a wide range of other measures."" (IEA, PAMS) IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
Norway,This document presents the government's strategy to meet its climate commitments for 2030. It discusses sectoral performances and examines ways to further reduce emissions.
Norway,"This support scheme for wind power production corresponding to half of the consumer electricity tax was introduced in 1999.
In 2001 the consumer tax on electricity was NOK 0.113/kWh, giving an incentive of NOK 0.0565/kWh of wind power produced. In 2002 the consumer tax on electricity was NOK 0.093/kWh, giving an incentive of NOK 0.0465/kWh of wind power produced. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
Norway,"The National Transport Plan 2022–2033 (Report No 20 to the Storting (2020–2021)) was presented to the public and submitted to the Storting in March 2021. This is the sixth plan under the current planning system, covering all modes of transport. The plan presents policies and priorities within an economic frame for a twelve year period and provides perspectives towards 2050."
Norway,Tax reduction on EV for company cars reduced from 50 to 40%.
Norway,"Repeatedly white paper on on National Climate Policy (2001, 2007, 2012)
CO2 tax: Scattered policy approach that is centrally coordinated but no overarching legally binding framework that passed parliament."
Norway,"The support scheme was part of a financial stimulus package after the 2008 fiscal crisis, and funded 100 % of the installation cost for normal chargers, up to NOK 30 000 per charging point. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,Legislative
United Kingdom,"It is a strategic plan for a Green Industrial Revolution. The ten points that the government will place efforts in the next years are encompasses clean power generation, reduce emissions in industry, transport and building sectors and increase the woodlands in UK to build a path towards a net-zero society.
As direct targets, the plan outlines production of 40 GW of offshore wind power by 2030, to have 10Mt of carbon captured per year by 2030 due to investments in CCS. 
 "
United Kingdom,"The Act establishes a legally binding target of at least an 80% cut in GHG emissions by 2050, against a 1990 baseline. It also creates 5-yearly “carbon budgets” as a pathway to meet the long-term target. The fourth carbon budget, for 2023–2027 approved by parliament in 2011 and reviewed in 2014, puts into law a target to reduce emissions by 50% from 1990 levels by 2025 (the midpoint of the budget period).
The Committee on Climate Change (CCC) – a new independent, expert body to advise the government on the level of carbon budgets and on progress in meeting these budgets."
Norway,Legislative
United Kingdom,"Gas boilers in the UK will be replaced by low-carbon heating systems in all new homes built after 2025. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,"This roadmap is part of a larger plan to green finance in the UK. It sets out a strategy to deliver on phase 1 of the plan, which is informing investors and consumers – addressing the information gap for market participants, ensuring a flow of decision-useful information on environmental sustainability from corporates to financial market participants. Following phases of the plan will include acting on the information, and shifting financial flows."
Norway,"Introduced in 1999, with differentiated between waste going to landfill and incineration. Incineration tax ended in 2010.
Rates in 2013 are NOK 479 per tonne for biodegradable waste going to landfill, NOK 289 per tonn for other waste going to landfill. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
Norway,EVs cannot be charged more than 50% the fare for fossil fuel cars on ferries.
United Kingdom,"The Act contains measures to create a more integrated transport system and provide for a public-private partnership for National Air Traffic Services Ltd (“NATS”). The Act aims to improve local passenger transport services, and reduce road congestion and pollution. The use of railways will be promoted through the Strategic Rail Authority."
United Kingdom,"Amongst other goals, the 25 years Plan lays out a strategic plan to take action to mitigate emissions and adapt to climate change effects by cutting greenhouse gas emissions including from land use, land use change, the agriculture and waste sectors and the use of fluorinated gases and implementing the Second National Adaptation Programme. Also, the plan outlines a expansion of the woodland cover and support protection of international forests. 
In the energy sector, the plan outlines a commitment to another policy - the Clean Growth Strategy - underscoring that UK will take action to eliminate unabated coal-fired electricity by 2025."
United Kingdom,"During the 2016 Autumn Statement, the Chancellor announced additional funding of £80m for charging infrastructure (including rapid charge points) for the period 2017 to 2020 and Government is considering how best to allocate this funding to meet the needs of drivers and deliver value for money. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,"The UK government will support the CCS Infrastructure Fund to establish CCS in at least two UK sites, one by the mid-2020s, a second by 2030. It aims to establish at least one CO2 capture equipped gas power plant by 2030 with the help of consumer subsidies.
Also, the Budget confirms funding for the Heat Networks Investment Project  and provides £270 million of new funding to enable new and existing heat networks to adopt low carbon heat sources in the building sector. The aim is that the heating of homes reaches net-zero by 2050 replacing natural gas and other fossil fuels with low carbon alternatives, such as biomethane.
Funding in the transport sector to reduce vehicle pollution through purchases and investments in zero emission light vehicles, and in the natural environmental sector to increase environmental restoration are also outlined in the budget plan."
United Kingdom,"This policy sets out a target of at least 50%, and as many as 70%, of new car sales and up to 40% of new van sales being ultra low emission by 2030."
United Kingdom,"The Net Zero innovation Portfolio establishes a £1 billion fund  for low-carbon technologies and systems to advance decarbonisation in the UK. This fund was announced  in the UK Government's ten point plan.
The portfolio outlines offshore wind, CCS, nuclear energy, hydrogen, industrial fuel switch and buildings among the priority areas to invest and support the development of technologies."
United Kingdom,"The Energy Technology List is a UK government-managed list of energy-efficient plant and machinery, such as boilers, electric motors, and air conditioning and refrigeration systems that qualify for tax relief under the the Enhanced Capital Allowance tax scheme for businesses. For a product to be on the ETL, it must meet specific energy-saving or energy-efficient criteria. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
Norway,"The overarching objective of this National Transport Plan is to develop a ""transport system that is safe, enhances value creation and contributes to a low-carbon society"".
Under this plan, the Government aims to develop efficient transport corridors and invest more than 400 billion NOK (~ 41 billion €) in roads, railways, coastal infrastructure and aviation in the period 2018 – 2029"
United Kingdom,"The Scottish Biomass Support Scheme was launched in 2006, with GBP 7.5 million in funding over the financial years 2006-07 and 2007-08. The capital grant scheme is applicable to all formally constituted organisations in Scotland, both public and private, of varying sizes (micro-enterprises and SMEs). Barring exceptional circumstances, the maximum capital grant allowed is GBP 400 000. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,Executive
United Kingdom,"Tax benefits for businesses installing charging infrastructure through a 100% first year allowance (FYA) for expenditure incurred on electric vehicle chargepoint equipment. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,"LCVIP promoted UK-based R&D and showcased vehicle technologies through demonstrations and road trials. The ULEV programme's aim was “to cement the UK’s position as a leader” in the development of ULEVs. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
Norway,"The Norwegian State Housing Bank assists with achieving Norway's national environmental targets by encouraging the construction of more environment-friendly housing, for example by stimulating low energy consumption. The Housing Bank supports projects that contribute to capacity building; those with a high level of ambition and a high transfer value IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,"A Bill to make provision about targets, plans and policies for improving the natural environment; for statements and reports about environmental protection; for the Office for Environmental Protection; about waste and resource efficiency; about air quality; for the recall of products that fail to meet environmental standards; about water; about nature and biodiversity; for conservation covenants; about the regulation of chemicals; and for connected purposes.
Includes provisions for fines for the importation of products or commodities linked to illegal deforestation."
United Kingdom,"Legislative IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,"This funding is in addition to £40 million already committed by the Mayor of London to compensate taxi drivers whose vehicles are affected by new tighter age limits to retire the oldest, most polluting taxis. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,"Go Ultra Low is a ground-breaking joint government and car industry campaign – supported by the Society for Motor Manufacturers and Traders (SMMT) and the government’s Office for Low Emission Vehicles (OLEV). The aim of the campaign is to provide all the facts and information needed to make an informed decision about switching to an electric vehicle (EV). Through education and information this campaign will help determine the vehicle that fits each indivduals needs. Additional information is provided to help select an EV-friendly tariff and charge at home system. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,"This strategy sets out the UK's plan to increase energy independence, which includes increasing energy efficiency, reducing demand, increasing renewable power generation and increasing domestic production of oil and gas."
Norway,"2015: E85 cars receive a tax deduction of NOK 10000. BEV and FCEV do not pay import tax, nor VAT. PHEV receive a reduction of import tax up to NOK 10000; 2016: E85 cars receive a tax deduction of NOK 10000. BEV and FCEV do not pay import tax, nor VAT.PHEV receive a reduction of import tax up to NOK 10000. This scheme will remain until 2018 and then revised. Free toll roads will probably be replaced with a new system with differentiated prices depending on CO2 and NOx emissions. The original idea was to keep EV tax free until 2020, but lately the Government is thinking of increasing taxes for large EVs liek Tesla model X; 2017: E85 cars receive a tax deduction of NOK 10000. BEV and FCEV do not pay import tax, nor VAT. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,This strategy formulates the UK's plans to develop its CCU industry and attract investors. It aims to capture 20-30 MtCO2e per year by 2030.
United Kingdom,Legislative
United Kingdom,Legislative
Norway,Executive
Norway,"The plan discusses Norway's efforts to reduce methane emissions and identifies the ministries and authorities responsible for implementing methane reduction targets in the various sectors. Methane reduction targets are not identified, but methane is part of the overarching greenhouse gas reduction targets of 55% by 2030 and 90-95% by 2050."
Norway,"Hydropower plants less than 5 MW are exempt from natural resource and ground rent taxes. All new renewable energy (including small scale hydro power) is covered by the electricity certificate scheme. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
Norway,"The scheme of the Centres for Environment-friendly Energy Research (FME) seeks to develop expertise and promote innovation through focus on long-term research in selected areas of environment-friendly energy. There are today 11 centres within renewable energy, energy efficiency, social sciences and CO2-management. The research activity is carried out in close cooperation between prominent research communities and users. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
Norway,EVs are not required to pay toll roads and ferries.
United Kingdom,"This strategic policy document sets out a target of 5GW of low-carbon hydrogen production capacity in the UK by 2030. According to the government, the use of low carbon hydrogen enabled by 5GW production capacity could deliver total emissions savings of around 41MtCO2e between 2023 and 2032, equivalent to the carbon captured by 700 million trees over the same time period."
Norway,"In parking areas, there is to be provided charging capacity for rechargeable motor vehicle in a sufficient number of parking spaces, that is to say that there is generally a free space at all times with charging possibilities. However, the company is not obliged to offer charging possibilities of more than six per cent of the total number of places. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,"This policy applies to hydropower, anaerobic digestion, wind and solar PV technologies under 5MW. The FiT lasts between 10 and 25 years, according to the technology. A scheme was also implemented for micro CHP (end of application period on 31 March 2019: https://energysavingtrust.org.uk/renewable-energy/electricity/micro-chp).
For details, refer to the sources below."
Norway,"The first NDC of Norway includes a commitment reduce greenhouse gas emissions by at least 40% compared to 1990 levels, by 2030. The emission reduction target will be developed into an emissions budget covering the period 2021-2030. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
Norway,"Clean energy for the future (RENERGI, 2004-2013) is a broad energy RD&D programme administered by the Research Council of Norway. RENERGI encompasses all energy research except petroleum, and includes socio-economic and basic research in the energy field. The primary research areas are renewables (hydro, bioenergy, wind, photovoltaics, thermal solar and ocean energy), energy usage, energy system (including distribution and transmission), biofuels and hydrogen. RENERGI had a budget for 2006 of NOK 150 million and NOK 165 million for 2007. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,Executive
United Kingdom,"The Heat Pump Investment Roadmap aims to significantly increase the deployment of heat pumps, from 55,000 installations in 2021 to 600,000 installations annually by 2028. This initiative involves a comprehensive package of policies, including targeted regulation and public investment schemes, to attract necessary investments."
Norway,"The state owned company Innovation Norway (established 1st January 2004) promotes nationwide industrial development, profitable to both the business economy and Norway's national economy, and helps release the potential of different districts and regions by contributing towards innovation, internationalisation and promotion.
A particular tool for the promotion of these goals is contracts on research and development. These contracts could also stimulate the development of environmental technologies. Innovation Norway is partly funding these contracts. The environment and renewable energy are central areas for Innovation Norway. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
Norway,"The main emphasis of the climate action plan is on emissions that are not included in the Emissions Trading System, or non-ETS emissions. These include emissions from transport, waste, agriculture and buildings, and some emissions from industrial production and the oil and gas industry."
United Kingdom,"Under the EU Directive 2009/28/EC, member countries of the European Union were obliged to draft, and submit to the European Commission, National Renewable Action Plans (NREAPs) outlining pathways that will allow them to meet their 2020 renewable energy targets.
UK targets by 2020:
15% share of energy generated from renewable sources in gross final energy consumption;
12% of heat consumption met by renewable sources;
31% of electricity demand met by electricity generated from renewable energy sources;
10% of energy demand met by renewable energy sources. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
Norway,"Transnova is a government agency funding projects to reduce GHG emissions from transport. It is testing of EVs in local weather conditions, subsidising charging infrastructure demonstration and operating a pilot project for electric taxis. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
Norway,"Energy intensive pulp and paper companies may participate in a five-year energy efficiency programme. Participation in the programme requires that the beneficiaries fulfill certain energy efficiency obligations. Penalty arrangements are stipulated in case the obligations are not fulfilled. Companies authorised for participation in the energy efficiency programme are granted a full exemption from the electricity tax for electricity used in the industrial production process during the programme period. The programme covers the period from 1 July 2004 until 30 June 2014, and consists of two five-year periods. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,"The Government has pledged £32 million of infrastructure support to create a new network of electric vehicle chargepoints. Locations for further chargepoints include homes, hospitals, train stations and A-roads. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,"The Hydrogen Net Zero Investment Roadmap provides an overview of government policies and investment opportunities in hydrogen. It highlights the UK's ambition to develop a low-carbon hydrogen economy, playing a vital role in achieving net zero emissions across various sectors."
United Kingdom,"The UK's 2nd Energy Efficiency Action Plan (EEAP) brought together in one document all the then current and planned policies and measures the government and the Devolved Administrations have in place to improve energy efficiency. This updated the previous EEAP of 2007 and fulfilled the UK's obligation under the Energy End-Use Efficiency and Energy Services Directive (ESD) to report on progress towards an overall national indicative energy savings target of 9% by 2016. It was superseded by the 2014 Energy Efficiency Action Plan under the EU Energy Efficiency Directive (see separate entry). IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
United Kingdom,"All purely electric cars, vans and other vehicles are currently Congestion Charge-exempt, because they have zero tailpipe emissions. This means if you purchase a fully electric vehicle, you won’t have to pay the London Congestion Charge. Plug-in hybrid-electric vehicles (PHEVs) are also Congestion Charge exempt, as none currently on sale exceeds the 75g/km limit. Hybrid cars aren't automatically Congestion Charge exempt. It depends on the model and trim level in question. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]"
